MapVis
Dewey;Roosevelt;1944;Gallup Final Poll;usa.svg;colorgradientus.png;Polling Averages on November 6, Source: The Gallup Poll: Public Opinion 1935 - 1971
Republican;Leaning Republican;Tie;Leaning Democrat;Democrat
AL;Democrat;11
AK;NULL;0
AZ;Democrat;4
AR;Democrat;9
CA;Leaning Democrat;25
CO;Republican;6
CT;Leaning Democrat;8
DE;Leaning Democrat;3
DC;NULL;0
FL;Democrat;8
GA;Democrat;12
HI;NULL;0
ID;Leaning Democrat;4
IL;Leaning Republican;28
IN;Republican;13
IA;Republican;10
KS;Republican;8
KY;Democrat;11
LA;Democrat;10
ME;Leaning Republican;5
MD;Leaning Democrat;8
MA;Leaning Democrat;16
MI;Republican;19
MN;Leaning Republican;11
MS;Democrat;9
MO;Leaning Republican;15
MT;Democrat;4
NE;Republican;6
NV;Democrat;3
NH;Leaning Democrat;4
NJ;Leaning Republican;16
NM;Leaning Republican;4
NY;Tie;47
NC;Democrat;14
ND;Republican;4
OH;Leaning Republican;25
OK;Leaning Democrat;10
OR;Leaning Democrat;6
PA;Leaning Democrat;35
RI;Democrat;4
SC;Democrat;8
SD;Republican;4
TN;Democrat;12
TX;Democrat;23
UT;Democrat;4
VT;Republican;3
VA;Democrat;11
WA;Democrat;8
WV;Leaning Democrat;8
WI;Republican;12
WY;Leaning Republican;3
