MapVis
Dewey v. Truman;1948;Gallup Final Poll;usa.svg;colorgradientusfull.png;Polling Averages on November 4, 49.5% for Dewey, 44.5% for Truman, 6% for Others, Source: The Gallup Poll: Public Opinion 1935 - 1971
Republican;Leaning Republican;Ballot Confusing;Tie;Leaning Democrat;Democrat
Republican;Democrat
AL;Ballot Confusing;0;28.00;0
AK;NULL;0;0;0
AZ;Democrat;4;44.00;53.00
AR;Democrat;9;32.00;53.00
CA;Republican;25;52.00;43.00
CO;Leaning Republican;6;50.00;49.00
CT;Republican;8;52.00;44.00
DE;Leaning Republican;3;51.00;47.00
DC;NULL;0;0;0
FL;Democrat;8;35.00;45.00
GA;Democrat;12;22.00;58.00
HI;NULL;0;0;0
ID;Leaning Republican;4;49.00;47.00
IL;Republican;28;54.00;46.00
IN;Republican;13;54.00;44.00
IA;Republican;10;54.00;43.00
KS;Republican;8;60.00;39.00
KY;Leaning Democrat;11;46.00;49.00
LA;Ballot Confusing;0;27.00;39.00
ME;Republican;5;56.00;42.00
MD;Republican;8;53.00;44.00
MA;Republican;16;52.00;45.00
MI;Republican;19;53.00;44.00
MN;Leaning Republican;11;51.00;46.00
MS;Ballot Confusing;0;9.00;15.00
MO;Leaning Democrat;15;47.00;52.00
MT;Leaning Democrat;4;48.00;50.00
NE;Republican;6;62.00;38.00
NV;Leaning Republican;3;50.00;47.00
NH;Republican;4;54.00;44.00
NJ;Republican;16;54.00;42.00
NM;Leaning Democrat;4;47.00;51.00
NY;Republican;47;51.00;39.00
NC;Democrat;14;36.00;51.00
ND;Republican;4;57.00;38.00
OH;Republican;25;55.00;42.00
OK;Democrat;10;45.00;55.00
OR;Republican;6;54.00;42.00
PA;Republican;35;52.00;44.00
RI;Democrat;4;44.00;54.00
SC;Ballot Confusing;0;9.00;38.00
SD;Republican;4;58.00;41.00
TN;Democrat;12;39.00;51.00
TX;Democrat;23;24.00;66.00
UT;Leaning Democrat;4;49.00;50.00
VT;Republican;3;64.00;35.00
VA;Leaning Republican;11;45.00;44.00
WA;Leaning Republican;8;48.00;47.00
WV;Leaning Republican;8;51.00;46.00
WI;Republican;12;56.00;41.00
WY;Leaning Republican;3;51.00;47.00
